BGGId,Name,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,latent_16,latent_17,latent_18,latent_19,latent_20,latent_21,latent_22,latent_23,latent_24,latent_25,latent_26,latent_27,latent_28,latent_29,latent_30,latent_31,latent_32,latent_33,latent_34,latent_35,latent_36,latent_37,latent_38,latent_39,latent_40,latent_41,latent_42,latent_43,latent_44,latent_45,latent_46,latent_47,latent_48,latent_49,latent_50,latent_51,latent_52,latent_53,latent_54,latent_55,latent_56,latent_57,latent_58,latent_59,latent_60,latent_61,latent_62,latent_63
4.0,Tal der Könige,0.0,0.0,0.0,5.8570232,4.375312,7.719575,0.0,4.7678776,0.0,5.5251617,9.353629,0.0,0.0,6.7504506,0.5698257,0.0,6.908666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4273338,2.0896585,6.2859364,8.838567,1.0864074,1.1716585,5.267919,0.70403636,0.0,1.6980516,0.0,0.0,0.76787055,3.9327946,0.0,7.3504906,0.0,2.973777,5.048216,3.1024127,0.0,0.0,0.0,1.4844817,3.9120708,0.0,2.409116,0.0,0.0,5.081045,1.2650374,2.3059802,0.0,0.0,0.0,0.0,7.15511,0.0,3.2329943
25.0,Battlemist,0.0,0.0,0.0,5.80155,4.3280683,7.642153,0.0,4.7171702,0.0,5.465005,9.25927,0.0,0.0,6.6837363,0.5629274,0.0,6.837393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3927279,2.0669785,6.219683,8.750197,1.074199,1.1553644,5.2157397,0.6966983,0.0,1.6790986,0.0,0.0,0.75709873,3.8926501,0.0,7.2799854,0.0,2.9402964,4.997396,3.0679054,0.0,0.0,0.0,1.4654475,3.8761494,0.0,2.3876836,0.0,0.0,5.027444,1.2531841,2.2836657,0.0,0.0,0.0,0.0,7.0780396,0.0,3.20043
32.0,Buffalo Chess,0.0,0.0,0.0,5.774258,4.3099155,7.601241,0.0,4.6890187,0.0,5.4394236,9.211798,0.0,0.0,6.6469436,0.5581244,0.0,6.805721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3778439,2.0556138,6.183227,8.705215,1.0686487,1.1434346,5.1894007,0.696445,0.0,1.6691915,0.0,0.0,0.7477945,3.877622,0.0,7.245263,0.0,2.9290364,4.9689226,3.0566297,0.0,0.0,0.0,1.4546564,3.8539515,0.0,2.372844,0.0,0.0,4.993781,1.248666,2.2699032,0.0,0.0,0.0,0.0,7.0392985,0.0,3.1815622
43.0,Airlines,0.0,0.0,0.0,5.835668,4.35214,7.6906023,0.0,4.740905,0.0,5.498682,9.312255,0.0,0.0,6.7232795,0.56965935,0.0,6.882242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4144728,2.0793006,6.263274,8.805968,1.0821354,1.164774,5.2450356,0.7046928,0.0,1.6958911,0.0,0.0,0.7612687,3.9175398,0.0,7.3254523,0.0,2.9653158,5.026063,3.0912135,0.0,0.0,0.0,1.4771626,3.8986835,0.0,2.401253,0.0,0.0,5.0564947,1.2599432,2.2951734,0.0,0.0,0.0,0.0,7.127488,0.0,3.2181098
62.0,Curse of the Mummy's Tomb,0.0,0.0,0.0,5.7569757,4.2948956,7.5826526,0.0,4.680444,0.0,5.425498,9.188754,0.0,0.0,6.6293626,0.56101424,0.0,6.7854085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3656492,2.0509758,6.1739025,8.682023,1.066668,1.1465069,5.173327,0.69303817,0.0,1.6660887,0.0,0.0,0.7493234,3.8629732,0.0,7.2255163,0.0,2.9183695,4.956035,3.0483575,0.0,0.0,0.0,1.4529043,3.8448174,0.0,2.3662097,0.0,0.0,4.9844165,1.2443007,2.2666028,0.0,0.0,0.0,0.0,7.0232344,0.0,3.1741607
67.0,Conquest,0.0,0.0,0.0,5.854709,4.370439,7.7204995,0.0,4.7632923,0.0,5.522604,9.352741,0.0,0.0,6.7487574,0.5713886,0.0,6.907611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4242632,2.0847573,6.2835803,8.839296,1.0849023,1.1690161,5.266525,0.7044178,0.0,1.7012769,0.0,0.0,0.7696619,3.931116,0.0,7.3476334,0.0,2.9706643,5.047877,3.0991843,0.0,0.0,0.0,1.4832357,3.9121728,0.0,2.4111207,0.0,0.0,5.0777965,1.2651588,2.307668,0.0,0.0,0.0,0.0,7.1547127,0.0,3.2267702
82.0,Bobby Lee: The Civil War in Virginia 1861-1865,0.0,0.0,0.0,5.7312193,4.2756376,7.549897,0.0,4.654007,0.0,5.403922,9.146617,0.0,0.0,6.6003156,0.558891,0.0,6.7601085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3536918,2.0414062,6.1491737,8.64017,1.0645356,1.1371146,5.152651,0.6881335,0.0,1.6627043,0.0,0.0,0.75152117,3.8469222,0.0,7.197062,0.0,2.9096053,4.940137,3.031385,0.0,0.0,0.0,1.4528491,3.8301013,0.0,2.3582575,0.0,0.0,4.9668527,1.2394438,2.2554557,0.0,0.0,0.0,0.0,6.9957066,0.0,3.158353
109.0,Wettstreit der Baumeister,0.0,0.0,0.0,5.66361,4.228993,7.455409,0.0,4.6007547,0.0,5.3326674,9.03922,0.0,0.0,6.523847,0.55201256,0.0,6.6756244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.310028,2.0153348,6.072653,8.536274,1.051105,1.1250818,5.0891795,0.6759018,0.0,1.64389,0.0,0.0,0.73901063,3.799853,0.0,7.1030493,0.0,2.871734,4.8802466,2.9978273,0.0,0.0,0.0,1.4330974,3.782308,0.0,2.3247967,0.0,0.0,4.906357,1.2207533,2.2322876,0.0,0.0,0.0,0.0,6.9101477,0.0,3.1233146
145.0,Metropolis,0.0,0.0,0.0,5.746011,4.2884426,7.56578,0.0,4.6704397,0.0,5.412079,9.171924,0.0,0.0,6.6184225,0.5607431,0.0,6.7717156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3629603,2.046669,6.1606636,8.665586,1.0663754,1.1469437,5.165801,0.6905364,0.0,1.6655829,0.0,0.0,0.7471989,3.8561456,0.0,7.209498,0.0,2.9168794,4.9480705,3.0414193,0.0,0.0,0.0,1.4521706,3.8374338,0.0,2.3602626,0.0,0.0,4.976108,1.2390065,2.2635603,0.0,0.0,0.0,0.0,7.010217,0.0,3.169122
151.0,Piratenbillard,0.0,0.0,0.0,5.780782,4.3127694,7.61772,0.0,4.6974645,0.0,5.4507427,9.22569,0.0,0.0,6.659743,0.5617231,0.0,6.816524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3863778,2.060213,6.2020917,8.721839,1.071415,1.1536391,5.1988926,0.6936793,0.0,1.6766764,0.0,0.0,0.75261545,3.8856294,0.0,7.258859,0.0,2.9392378,4.9799395,3.0586107,0.0,0.0,0.0,1.4628919,3.8610897,0.0,2.3779008,0.0,0.0,5.0091352,1.2515538,2.275639,0.0,0.0,0.0,0.0,7.0580087,0.0,3.189022
250.0,Colonial Diplomacy,0.0,0.0,0.0,5.8998723,4.399615,7.774293,0.0,4.802308,0.0,5.5571938,9.409161,0.0,0.0,6.7969575,0.57463557,0.0,6.9632406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.454072,2.0988963,6.3330092,8.898037,1.0957371,1.1773611,5.3031006,0.7066156,0.0,1.7178687,0.0,0.0,0.77038395,3.9612901,0.0,7.399581,0.0,3.003274,5.078893,3.1156259,0.0,0.0,0.0,1.4955992,3.9406016,0.0,2.428777,0.0,0.0,5.11686,1.2776622,2.3231614,0.0,0.0,0.0,0.0,7.1994524,0.0,3.2578197
